title,rating,year,poster_path,overview
Tempo de Guerra,7.2,2025,/223TDJjnhuQV6cTUlvn6e39s0GA.jpg,"Tempo de Guerra faz o espectador se juntar a um pelotão de SEALs da Marinha dos EUA em uma missão de vigilância em território insurgente que não sai conforme o planejado. Uma história visceral e crua sobre a guerra moderna e o sentimento de fraternidade, contada como nunca antes: em tempo real, com base nas memórias daqueles que lutaram."
Kayara - A Princesa Inca,7.6,2025,/1F9XXHadJR2as6YAi9hkG6bkDEE.jpg,"Uma jovem garota sonha em se juntar ao grupo de mensageiros do Império Inca, composto somente por homens. Ela desafia tradições e normas de gênero para perseguir sua ambição contra todas as probabilidades."
The Old Guard,7.1,2020,/pZOK1L88L7KoM5iNQVqNomdhjto.jpg,Quatro guerreiros com o dom da imortalidade protegem a humanidade há séculos. Mas seus misteriosos poderes viram alvo de ataque quando outra imortal entra em cena.
Como Treinar o Seu Dragão,7.8,2010,/yfj27wcg80MjSn7Il6iGQ2wkTth.jpg,"Soluço é um jovem viking que desafia a tradição, quando fica amigo de um dos mais mortais inimigos — um feroz dragão que ele chama de Banguela."
Quarteto Fantástico: Primeiros Passos,0,2025,/n5lZgyRb4vpzyVZgWq3YErzeqLt.jpg,"Com o vibrante cenário de um mundo retrô-futurista inspirado nos anos 1960, ""O Quarteto Fantástico: Primeiros Passos"" apresenta a Primeira Família da Marvel - Reed Richards/Senhor Fantástico, Sue Storm/Mulher Invisível, Johnny Storm/Tocha Humana e Ben Grimm/O Coisa enquanto eles enfrentam seu desafio mais assustador até agora. Forçados a equilibrar seus papéis como heróis com a força de seus laços familiares, eles devem defender a Terra de um deus espacial voraz chamado Galactus (Ralph Ineson) e seu enigmático Arauto, Surfista Prateado (Julia Garner). E se o plano de Galactus de devorar o planeta inteiro e todos nele não fosse ruim o suficiente, de repente fica muito pessoal."
K.O.,6.6,2025,/o0brhd2qdfFL3o7VxFDsUfUSaML.jpg,"Um ex-lutador precisa encontrar o filho desaparecido de um adversário que matou acidentalmente há vários anos. Para isso, ele vai ter que encarar uma gangue violenta."
Entre Montanhas,7.7,2025,/7zL6RxMPmpPSdU5OTdVC4dtiKcr.jpg,"Dois agentes altamente treinados se aproximam à distância após serem enviados para proteger lados opostos de um desfiladeiro misterioso. Quando um mal emerge, eles precisam trabalhar juntos para sobreviver ao que está lá dentro."
Divertida Mente 2,7.6,2024,/xGvz7nlGQeePcVOpAzOcHsC7kRt.jpg,"""Divertida Mente 2"", da Disney e da Pixar, retorna à mente da adolescente Riley, e o faz no momento em que a sala de comando está passando por uma demolição repentina para dar lugar a algo totalmente inesperado: novas emoções! Alegria, Tristeza, Raiva, Medo e Nojinho não sabem bem como reagir quando Ansiedade aparece, e tudo indica que ela não está sozinha."
Força Bruta: Punição,7.0,2024,/56fLEVKv5b2XJTiZSzqMnzvZq6P.jpg,"O detetive Ma Seok-do se junta à Equipe de Investigação Cibernética para prender Baek Chang-ki, um ex-mercenário e chefe de uma organização de jogos de azar online."
Sua Culpa,7.1,2024,/bYGXiAHUQqSp8SW3ql2lleZxQ5n.jpg,"O amor entre Noah e Nick aparenta ser inabalável, apesar das tentativas de seus pais de separá-los. Mas o emprego dele, e a entrada dela na faculdade abrem suas vidas para novos relacionamentos. O retorno de uma ex-namorada vingativa e da mãe de Nick, com intenções obscuras, vão balançar não só o relacionamento deles, mas também de toda a família Leister. Quando tantas pessoas buscam destruir um relacionamento, será que ele consegue sobreviver?"
Um Lugar Chamado Utopia,5.6,2024,/z35jz7ZSTYfZVbRSM3HD9FXQYPv.jpg,"Um soldado infiltra-se em uma instalação de alta tecnologia à procura de sua esposa desaparecida, mas encontra um parque de fantasias futurista onde realidade e ilusão se confundem, arrastando-o para um jogo mortal onde nada é o que parece."
Meu Malvado Favorito 4,7,2024,/oCnwP87AskNyzATNEBNHHaktjzG.jpg,"Nesta sequência, o vilão mais amado do planeta retorna e agora Gru, Lucy, Margo, Edith e Agnes dão as boas-vindas a um novo membro da família: Gru Jr., que pretende atormentar seu pai. Enquanto se adapta com o pequeno, Gru enfrenta um novo inimigo, Maxime Le Mal, forçando sua namorada Valentina e a família a fugir do perigo."
Elio,6.8,2025,/yt6VGEUxzwDodTq56D1pEX3TFYw.jpg,"Elio, um garoto oprimido com uma imaginação fértil, acaba sendo transportado acidentalmente para o Comuniverso. Identificado por engano como o embaixador da Terra para o resto do universo, Elio precisará formar novos laços com excêntricas formas de vida alienígenas, sobreviver a uma série de tribulações terríveis e, de alguma forma, descobrir quem ele realmente está destinado a ser."
